_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,neighborhood_size ,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
154,596116859,70,1435552894,2/14/19,2/22/19,5859,,4,StatTrak,25,,30,83,35,38,-7994271741,4044877794,Shadyside,8,7,42003070900,2,7,4,3/22/24
155,597499467,163,,,,,,,,,,,,,,-799834994,4045328303,Strip District,7,2,42003020300,6,2,2,2/25/24
156,607205051,129,1884276852,7/1/19,,,,,Intersection Study,,,,,,,-7997101147,4046110505,Strip District,7,6,42003020300,6,6,2,3/2/24
157,609406388,204,424741047,11/14/19,11/22/19,1390,,2,StatTrak,25,,21,8,24,27,-7992797767,4044542381,Squirrel Hill North,8,14,42003140200,3,14,4,2/17/24
158,610049666,126,687814145,5/9/19,,,,,Intersection Study,,,,,,,-800239777,404505028,Chateau,6,21,42003980600,1,21,1,1/8/24
159,615223154,175,1247630628,8/9/19,8/19/19,131,,4,StatTrak,25,,22,29,29,33,-8007365573,4045640109,Windgap,2,28,42003563000,5,28,6,1/16/24
160,617004784,188,1101847582,9/24/19,10/8/19,1183,,4,StatTrak,25,,19,6,23,26,-7992610297,4042109337,Squirrel Hill South,5,14,42003141400,3,14,4,2/15/24
161,626984277,127,744399552,3/13/19,,,,,Intersection Study,,,,,,,-7992335097,4042959334,Squirrel Hill South,5,14,42003141400,3,14,4,2/21/24
162,627026154,162,,,,,,,,,,,,,,-799442732,4045466833,Bloomfield,7,8,42003080400,2,8,5,2/23/24
163,633942490,1,1348699590,12/28/18,1/9/19,6513,,14,StatTrak,25,,34,97,39,43,-7991215393,404431866,Point Breeze,9,14,42003981100,3,14,4,2/18/24
164,638221590,48,43884302,9/24/19,10/8/19,571,,,StatTrak,25,,19,8,24,95,-7993387468,4043666494,Squirrel Hill South,5,14,42003980500,3,14,4,2/21/24
165,643622454,120,469728564,7/9/19,7/18/19,,,3,StatTrak,25,,,,,,-799251926,4044395674,Squirrel Hill North,8,14,42003140300,3,14,4,2/18/24
